"SerialNo","A1","t1","y0"
"10436957","-728.600676698528","11135.164908108","727.008225855184"
"10436960","-782.334999828025","11476.4111066992","783.90626973294"
"10436966","-752.932624535308","11718.7831953834","747.824988501255"
"10436968","-755.546604150635","13530.1078009691","750.010414972118"
"10436969","-741.302933058058","10055.0625718865","744.760470250483"
"10436970","-748.925568869097","12268.127340902","744.430439769916"
"10436978","-748.350903977126","11806.996408409","744.532036890817"
"10436982","-775.014327576933","13783.894752266","770.965124078543"
"10436983","-778.131899858754","11012.8341367662","784.782199543603"
"10436987","-685.886626326726","8884.35700971877","692.496952964276"
"10436989","-756.240413392229","12084.7604268699","758.34614788798"
"10436990","-761.286466507891","12601.6092911471","760.616998477358"
"10436992","-716.297348765988","10193.9939953145","716.840001212779"
"10470033","-769.874208000023","11955.8241603558","769.052242119963"
"10612025","-765.187201294539","10595.1781149231","764.860499256416"
"10612033","-783.765263285994","10353.3798172903","781.282000926035"
"10612046","-722.044447699289","8893.70811583294","721.632535901057"
"10612053","-769.328861821377","9481.79628009122","768.885876442696"
"10612055","-773.972471783578","10516.1881544541","775.710448410546"
NA,NA,NA,NA
