Time,time,minidot_DO,ysi_DO,offset
2:21:00 PM,1,9.901,10.37,0.469
2:31:00 PM,2,9.881,10.34,0.459
2:41:00 PM,3,9.834,10.31,0.476
2:51:00 PM,4,9.821,10.28,0.459
3:01:00 PM,5,9.771,10.26,0.489
3:11:00 PM,6,9.767,10.23,0.463
3:21:00 PM,7,9.756,10.21,0.454
3:31:00 PM,8,9.72,10.18,0.46
3:41:00 PM,9,9.707,10.16,0.453
3:51:00 PM,10,9.659,10.13,0.471
4:01:00 PM,11,9.646,10.11,0.464
4:11:00 PM,12,9.62,10.09,0.47
4:21:00 PM,13,9.561,10.07,0.509
4:31:00 PM,14,9.568,10.05,0.482
4:41:00 PM,15,9.55,10.03,0.48
4:51:00 PM,16,9.507,10.02,0.513
5:01:00 PM,17,9.498,9.99,0.492
5:11:00 PM,18,9.512,9.98,0.468
5:21:00 PM,19,9.472,9.96,0.488
5:31:00 PM,20,9.453,9.94,0.487
5:41:00 PM,21,9.447,9.93,0.483
5:51:00 PM,22,9.426,9.92,0.494
6:01:00 PM,23,9.39,9.9,0.51
6:11:00 PM,24,9.404,9.88,0.476
6:21:00 PM,25,9.375,9.87,0.495
6:31:00 PM,26,9.342,9.86,0.518
6:41:00 PM,27,9.35,9.85,0.5
6:51:00 PM,28,9.31,9.84,0.53
7:01:00 PM,29,9.322,9.83,0.508
7:11:00 PM,30,9.315,9.82,0.505
7:21:00 PM,31,9.281,9.8,0.519
7:31:00 PM,32,9.309,9.79,0.481
7:41:00 PM,33,9.267,9.78,0.513
7:51:00 PM,34,9.244,9.77,0.526
8:01:00 PM,35,9.245,9.76,0.515
8:11:00 PM,36,9.249,9.76,0.511
8:21:00 PM,37,9.228,9.74,0.512
8:31:00 PM,38,9.202,9.75,0.548
8:41:00 PM,39,9.202,9.73,0.528
8:51:00 PM,40,9.181,9.73,0.549
9:01:00 PM,41,9.212,9.72,0.508
9:11:00 PM,42,9.173,9.71,0.537
9:21:00 PM,43,9.174,9.71,0.536
9:31:00 PM,44,9.189,9.71,0.521
9:41:00 PM,45,9.183,9.7,0.517
9:51:00 PM,46,9.14,9.69,0.55
10:01:00 PM,47,9.168,9.69,0.522
10:11:00 PM,48,9.133,9.69,0.557
10:21:00 PM,49,9.138,9.68,0.542
10:31:00 PM,50,9.142,9.68,0.538
10:41:00 PM,51,9.115,9.68,0.565
10:51:00 PM,52,9.116,9.67,0.554
11:01:00 PM,53,9.124,9.67,0.546
11:11:00 PM,54,9.111,9.67,0.559
11:21:00 PM,55,9.118,9.67,0.552
11:31:00 PM,56,9.11,9.67,0.56
11:41:00 PM,57,9.125,9.67,0.545
11:51:00 PM,58,9.102,9.67,0.568
12:01:00 AM,59,9.123,9.67,0.547
12:11:00 AM,60,9.103,9.68,0.577
12:21:00 AM,61,9.087,9.67,0.583
12:31:00 AM,62,9.083,9.67,0.587
12:41:00 AM,63,9.096,9.68,0.584
12:51:00 AM,64,9.076,9.68,0.604
1:01:00 AM,65,9.128,9.68,0.552
1:11:00 AM,66,9.075,9.68,0.605
1:21:00 AM,67,9.085,9.68,0.595
1:31:00 AM,68,9.1,9.68,0.58
1:41:00 AM,69,9.096,9.69,0.594
1:51:00 AM,70,9.102,9.68,0.578
2:01:00 AM,71,9.088,9.69,0.602
2:11:00 AM,72,9.092,9.69,0.598
2:21:00 AM,73,9.105,9.69,0.585
2:31:00 AM,74,9.101,9.7,0.599
2:41:00 AM,75,9.106,9.7,0.594
2:51:00 AM,76,9.106,9.71,0.604
3:01:00 AM,77,9.082,9.7,0.618
3:11:00 AM,78,9.077,9.71,0.633
3:21:00 AM,79,9.097,9.72,0.623
3:31:00 AM,80,9.091,9.72,0.629
3:41:00 AM,81,9.092,9.72,0.628
3:51:00 AM,82,9.082,9.72,0.638
4:01:00 AM,83,9.112,9.72,0.608
4:11:00 AM,84,9.101,9.73,0.629
4:21:00 AM,85,9.129,9.74,0.611
4:31:00 AM,86,9.109,9.74,0.631
4:41:00 AM,87,9.118,9.75,0.632
4:51:00 AM,88,9.123,9.74,0.617
5:01:00 AM,89,9.116,9.75,0.634
5:11:00 AM,90,9.127,9.75,0.623
5:21:00 AM,91,9.145,9.76,0.615
5:31:00 AM,92,9.132,9.77,0.638
5:41:00 AM,93,9.116,9.77,0.654
5:51:00 AM,94,9.146,9.77,0.624
6:01:00 AM,95,9.129,9.76,0.631
6:11:00 AM,96,9.144,9.76,0.616
6:21:00 AM,97,9.141,9.75,0.609
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
